Serving HTTP on :: port 8765 (http://[::]:8765/) ...
::1 - - [17/Sep/2026 22:51:58] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:51:58] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:51:58] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:51:58] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:51:58] code 404, message File not found
::1 - - [17/Sep/2026 22:51:58] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 22:53:12] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:53:12] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:53:12] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:53:12] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:53:12] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:53:12] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:53:12] code 404, message File not found
::1 - - [17/Sep/2026 22:53:12] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 22:53:13] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 22:55:38] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:55:38] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:55:38] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:55:38] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:55:38] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:55:38] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:56:01] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:56:01] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:56:01] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:56:01] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:56:01] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:56:01] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:17] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:17] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:17] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:17] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:17] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:17] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:57] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:57] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:57] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:57] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:58] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:57:58] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:58:26] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:58:26] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:58:26] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:58:26] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:58:26] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:58:26] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:58:26] code 404, message File not found
::1 - - [17/Sep/2026 22:58:26] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 22:58:27] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:00:37] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:00:37] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:00:37] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:00:37] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:00:37] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:00:37] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:02] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:02] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:02] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:02] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:02] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:02] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:02] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:02] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:27] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:27] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:27] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:27] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:27] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:27] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:27] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:27] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:01:27] code 404, message File not found
::1 - - [17/Sep/2026 23:01:27] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 23:01:29] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:04:09] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:09] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:09] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:09] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:09] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:09] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:09] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:09] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:10] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:10] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:10] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:10] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:10] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:10] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:10] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:10] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:40] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:40] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:40] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
