Serving HTTP on :: port 8765 (http://[::]:8765/) ...
::1 - - [17/Sep/2026 23:09:19] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:19] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:19] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:24] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:24] "GET /assets/logo-weizmann.png HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:09:25] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:09:39] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:39] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:39] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:39] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:39] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:39] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:39] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:39] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:39] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:41] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:41] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:41] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:41] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:41] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:41] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:41] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:41] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:41] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:47] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:47] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:47] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:47] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:47] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:47] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:47] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:47] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:47] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:47] code 404, message File not found
::1 - - [17/Sep/2026 23:09:47] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 23:09:48] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:10:51] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:51] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:51] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:51] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:51] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:51] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:51] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:51] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:51] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:53] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:53] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:53] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:53] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:53] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:53] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:53] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:53] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:10:53] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:00] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:00] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:00] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:00] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:00] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:00] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:00] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:00] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:00] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:00] code 404, message File not found
::1 - - [17/Sep/2026 23:11:00] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 23:11:01] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:11:32] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:32] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:32] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:32] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:32] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:32] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:32] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:32] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:32] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:11:32] code 404, message File not found
::1 - - [17/Sep/2026 23:11:32] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 23:12:38] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:12:38] "GET /fonts/NulshockBd.otf HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:12:38] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:12:39] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:12:39] "GET /assets/logo-weizmann.png HTTP/1.1" 304 -
